SeedX	SeedY	Weight 0	Weight 1	Weight 2	Weight 3	Weight 4	Weight 5	Weight 6	Weight 7	Weight 8	Weight 9	Weight 10	Weight 11	Weight 12	Weight 13	Weight 14	Weight 15	Weight 16	Weight 17	Weight 18	Weight 19	Weight 20	Weight 21	Weight 22	Weight 23	Weight 24	Weight 25	Weight 26	Weight 27	Weight 28	Weight 29	Weight 30	Weight 31	Weight 32	Weight 33	Weight 34	Weight 35	Weight 36	Weight 37	Weight 38	Weight 39	Weight 40	Weight 41	Weight 42	Weight 43	Weight 44	Weight 45	Weight 46	Weight 47	Weight 48	Weight 49	Weight 50	Weight 51	Weight 52	Weight 53	Weight 54	Weight 55	Weight 56	Weight 57	Weight 58	Weight 59	Weight 60	Weight 61	Weight 62	Weight 63	Weight 64	Weight 65	Weight 66	Weight 67	Weight 68	Weight 69	Weight 70	Weight 71	Weight 72	Weight 73	Weight 74	Weight 75	Weight 76	Weight 77	Weight 78	Weight 79	Weight 80	Weight 81	Weight 82	Weight 83	Weight 84	Weight 85	Weight 86	Weight 87	Weight 88	Weight 89	Weight 90	Weight 91	Weight 92	Weight 93	Weight 94	Weight 95	Weight 96	Weight 97	Weight 98	Weight 99	
0	0	1	1	1	0.687635	0	0	0	0	0	0	1	1	1	0.524663	0	0	0	0	0	0	1	1	0.887808	0.0835713	0	0	0	0	0	0	0.680476	0.524589	0.0831165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	1	1	1	1	1	0.686184	0	0	0	0	0	1	1	1	1	0.524368	0	0	0	0	0	1	1	1	0.888445	0.0840934	0	0	0	0	0	0.515361	0.682504	0.52285	0.0827577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	2	1	1	1	1	1	0.688916	0	0	0	0	1	1	1	1	1	0.523593	0	0	0	0	0.873907	1	1	1	0.887715	0.0841991	0	0	0	0	0.0810281	0.514231	0.682302	0.525268	0.084071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	3	0.674679	1	1	1	1	1	0.689948	0	0	0	0.515397	1	1	1	1	1	0.523065	0	0	0	0.0825111	0.875037	1	1	1	0.889394	0.0842087	0	0	0	0	0.0818096	0.515566	0.679676	0.524653	0.083472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	4	0	0.676095	1	1	1	1	1	0.687277	0	0	0	0.513526	1	1	1	1	1	0.52483	0	0	0	0.0825015	0.874771	1	1	1	0.885604	0.0838724	0	0	0	0	0.0822132	0.514093	0.683157	0.526969	0.0837827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	5	0	0	0.677443	1	1	1	1	1	0.687776	0	0	0	0.515185	1	1	1	1	1	0.522527	0	0	0	0.0815246	0.873497	1	1	1	0.890367	0.0837603	0	0	0	0	0.0821428	0.515454	0.684599	0.524026	0.0848974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	6	0	0	0	0.679871	1	1	1	1	1	0.688769	0	0	0	0.512014	1	1	1	1	1	0.523933	0	0	0	0.0827962	0.870992	1	1	1	0.889762	0.0836258	0	0	0	0	0.0816687	0.512751	0.683852	0.522453	0.0834977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	7	0	0	0	0	0.677638	1	1	1	1	1	0	0	0	0	0.515038	1	1	1	1	1	0	0	0	0	0.0819314	0.871114	1	1	1	0.885748	0	0	0	0	0	0.0822709	0.51391	0.681947	0.524637	0.0839108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	8	0	0	0	0	0	0.677847	1	1	1	1	0	0	0	0	0	0.512889	1	1	1	1	0	0	0	0	0	0.0822164	0.872414	1	1	1	0	0	0	0	0	0	0.0830204	0.513263	0.683311	0.52334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	9	0	0	0	0	0	0	0.678183	1	1	1	0	0	0	0	0	0	0.513455	1	1	1	0	0	0	0	0	0	0.0814861	0.876411	1	1	0	0	0	0	0	0	0	0.0826937	0.514189	0.680819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
